HGNC_ID	HGNC_symbol	transcript	gene	chr	tx_start	tx_end	bp	n_exons	p_all	p_syn	p_mis	p_non	p_css	p_fs	p_lof
HGNC:1380	CA6	ENST00000377436.3	CA6	1	9005945	9034503	942	8	1.44467652982e-05	4.5949240182e-06	9.18817345531e-06	3.55242431138e-07	3.0842539359e-07	1.00118978799e-07	7.63786803527e-07
HGNC:4084	GABRD	ENST00000378585.4	GABRD	1	1950862	1961721	1359	9	2.91547703683e-05	9.88561361098e-06	1.84371863718e-05	5.2866824319e-07	3.03302142403e-07	2.44496858669e-08	8.5642007146e-07
HGNC:11914	TNFRSF18	ENST00000328596.6	TNFRSF18	1	1138970	1141951	768	4	1.10125778087e-05	3.4902693792e-06	7.13161252276e-06	2.89745671416e-07	1.0095023533e-07	6.32891705477e-09	3.97024823801e-07
HGNC:37099	TMEM88B	ENST00000378821.3	TMEM88B	1	1361507	1363167	492	2	1.4087999785e-06	5.15214155893e-07	8.77214860237e-07	1.21842066782e-08	4.18675569517e-09	3.78030665913e-09	2.01512690325e-08
HGNC:29831	NADK	ENST00000344463.4	NADK	1	1684342	1696845	1776	13	3.16499408902e-05	1.04489621208e-05	1.99631237461e-05	6.35057809952e-07	6.02797213297e-07	3.04527975591e-08	1.26830782081e-06
HGNC:24188	SDF4	ENST00000360001.6	SDF4	1	1152891	1164173	1089	6	2.48920986392e-05	8.83489813852e-06	1.53589741889e-05	4.76497443034e-07	2.21728868761e-07	9.63294174405e-09	7.07859253538e-07
HGNC:15661	TAS1R3	ENST00000339381.5	TAS1R3	1	1266725	1269844	2559	6	4.94977052395e-05	1.70145379237e-05	3.12916820636e-05	9.92952085156e-07	1.98533166932e-07	1.05567205314e-08	1.20204197262e-06
HGNC:16877	MFN2	ENST00000235329.5	MFN2	1	12049225	12071622	2274	17	3.62388814248e-05	9.78031834416e-06	2.45431402934e-05	1.20858189038e-06	7.0684089686e-07	2.84473481033e-07	2.19989626828e-06
HGNC:24908	PRAMEF19	ENST00000540591.1	PRAMEF19	1	13695524	13698358	1440	3	7.71216591393e-06	2.09007401965e-06	5.37957217574e-06	2.20536415842e-07	2.19833026908e-08	5.70072553224e-08	2.99526973855e-07
HGNC:8891	PGD	ENST00000270776.8	PGD	1	10459174	10479806	1452	13	2.37781897804e-05	7.42995801152e-06	1.51207536176e-05	6.92190616138e-07	5.35287535196e-07	1.88830459556e-07	1.41630861089e-06
HGNC:11010	SLC2A5	ENST00000377424.4	SLC2A5	1	9097644	9129595	1506	12	2.63391900101e-05	9.05710084961e-06	1.63397890785e-05	4.39959949838e-07	5.02340132154e-07	1.51589028759e-07	1.09388911075e-06
HGNC:17939	SLC45A1	ENST00000471889.1	SLC45A1	1	8384389	8404073	2247	8	5.08844216536e-05	1.80532827523e-05	3.13994114991e-05	1.10572138819e-06	3.26006014019e-07	9.31502833271e-08	1.52487768554e-06
HGNC:24193	CALML6	ENST00000307786.3	CALML6	1	1846719	1848632	546	6	7.88765857472e-06	2.58878222495e-06	4.92066698258e-06	1.9779765571e-07	1.80411711462e-07	1.53816595016e-08	3.93591026673e-07
HGNC:14448	TAS1R1	ENST00000333172.6	TAS1R1	1	6615433	6639644	2526	6	3.99189603697e-05	1.24083620319e-05	2.62508559498e-05	1.04027275207e-06	2.19469635969e-07	5.52088540592e-08	1.3149512421e-06
HGNC:5350	ICMT	ENST00000343813.5	ICMT	1	6285139	6295971	855	5	1.07127983476e-05	3.25995856613e-06	6.7337747097e-06	5.64446034472e-07	1.54619037297e-07	4.36476206356e-08	7.62712692405e-07
HGNC:4053	ISG15	ENST00000379389.4	ISG15	1	948953	949858	498	2	1.16106296914e-05	4.12649833217e-06	7.24825916914e-06	1.8954204247e-07	4.63301476104e-08	2.63423058214e-09	2.38506420663e-07
HGNC:9081	PLOD1	ENST00000196061.4	PLOD1	1	11994836	12034865	2184	19	4.08364129057e-05	1.22818131697e-05	2.64243779761e-05	1.13043144248e-06	9.99790317353e-07	3.16827807807e-07	2.44704956764e-06
HGNC:19104	NPHP4	ENST00000378156.4	NPHP4	1	5923324	6046349	4281	29	7.46671241193e-05	2.39571000317e-05	4.76109790808e-05	1.78596148248e-06	1.3130835244e-06	2.40093296373e-07	3.33913830326e-06
HGNC:3084	DVL1	ENST00000378891.5	DVL1	1	1271521	1284445	2013	15	4.29082787037e-05	1.35583002687e-05	2.8136783216e-05	6.90468785464e-07	5.22726433562e-07	2.65538848072e-08	1.23974910383e-06
HGNC:14478	MRPL20	ENST00000344843.7	MRPL20	1	1337462	1342597	450	4	8.08978702799e-06	2.30434675919e-06	5.04617894407e-06	4.8154169839e-07	2.5771962633e-07	7.44135241844e-09	7.46702677138e-07
HGNC:28116	CPTP	ENST00000343938.4	GLTPD1	1	1262290	1263143	645	2	1.45790986573e-05	4.76300268404e-06	9.56903269285e-06	2.02384340201e-07	4.46789402552e-08	3.50371032544e-09	2.50566990781e-07
HGNC:25054	DRAXIN	ENST00000294485.5	DRAXIN	1	11766315	11779753	1050	6	1.65488348476e-05	4.89474100106e-06	1.08821481867e-05	5.67642057303e-07	2.04303602499e-07	9.79932849838e-08	8.69938944787e-07
HGNC:30583	PRAMEF6	ENST00000376189.1	PRAMEF6	1	12998504	13002348	1431	3	7.35443764018e-06	1.99390205023e-06	5.05177254361e-06	2.63952323257e-07	4.48107230772e-08	5.4108718525e-08	3.6287176486e-07
HGNC:3350	ENO1	ENST00000234590.4	ENO1	1	8921418	8934967	1305	11	2.09575578038e-05	6.55312941292e-06	1.34293639255e-05	4.07899588846e-07	5.67164876599e-07	1.36229215119e-07	1.11129368056e-06
HGNC:30791	UBIAD1	ENST00000376810.5	UBIAD1	1	11333588	11346188	1017	2	1.7142383608e-05	5.91106203911e-06	1.07318678372e-05	4.53458274768e-07	4.59954568896e-08	3.1464457837e-08	5.30918189494e-07
HGNC:26428	C1orf86	ENST00000378546.4	C1orf86	1	2121147	2126188	543	4	1.130512058e-05	3.80984488358e-06	7.17806243516e-06	2.00372855677e-07	1.16840405541e-07	1.1789758317e-08	3.29003019534e-07
HGNC:13581	FBXO2	ENST00000354287.4	FBXO2	1	11708750	11714397	891	6	1.64611460827e-05	5.71370877647e-06	1.02292047906e-05	3.55411196016e-07	1.62821319569e-07	9.74767961949e-08	6.15709311781e-07
HGNC:19764	HES5	ENST00000378453.3	HES5	1	2460907	2461603	501	3	4.21413131984e-06	1.30857818065e-06	2.76260546259e-06	9.45651368003e-08	4.83825398111e-08	1.02441805612e-08	1.53191857173e-07
HGNC:27995	PRAMEF5	ENST00000376168.1	PRAMEF5	1	13364890	13368733	1431	3	1.61627385994e-06	4.50354673226e-07	1.11250657985e-06	4.5089528219e-08	8.32307865096e-09	5.56313197666e-08	1.09043926636e-07
HGNC:1729	CDK11B	ENST00000407249.3	CDK11B	1	1571125	1588935	2358	21	2.63422293083e-05	7.77655742395e-06	1.73685916107e-05	7.04446133213e-07	4.92634140396e-07	4.59439610577e-08	1.24302423467e-06
HGNC:17693	DHRS3	ENST00000376223.2	DHRS3	1	12628368	12677353	909	6	1.81078699278e-05	5.72954106552e-06	1.19228543282e-05	2.4532283189e-07	2.10151702251e-07	1.05237769379e-07	5.6071230352e-07
HGNC:32038	AADACL4	ENST00000376221.1	AADACL4	1	12704565	12726746	1224	4	1.89562302074e-05	5.36911535717e-06	1.2976159825e-05	4.73152126214e-07	1.37802899079e-07	7.05647596657e-08	6.81519784958e-07
HGNC:16005	HES2	ENST00000377834.4	HES2	1	6478932	6479880	522	4	6.75839275686e-06	2.32040811267e-06	4.18797253164e-06	6.81601870582e-08	1.81851925489e-07	3.5956475967e-08	2.85968588514e-07
HGNC:29105	PLEKHG5	ENST00000537245.1	PLEKHG5	1	6527622	6557091	3258	22	5.3551775105e-05	1.62901173783e-05	3.51349628487e-05	1.10587198579e-06	1.02082289231e-06	1.99436236513e-07	2.32613111461e-06
HGNC:29295	HNRNPCL1	ENST00000317869.6	HNRNPCL1	1	12907260	12908142	882	1	1.26944844776e-05	3.30530806735e-06	8.78461178922e-06	6.04564621029e-07	0.0	1.79075056404e-08	6.22472126669e-07
NA	NA	ENST00000597060.1	AL590822.2	1	2121489	2122032	543	1	1.06912562754e-06	2.67801344661e-07	7.61782401113e-07	3.95418817651e-08	0.0	2.94390160947e-09	4.24857833746e-08
HGNC:32346	PIK3CD-AS1	ENST00000377320.3	C1orf200	1	9713836	9714494	504	2	8.19040716661e-06	2.21239057844e-06	5.76338187121e-06	1.71170311773e-07	4.34644051772e-08	2.69533504161e-08	2.41588067366e-07
HGNC:18185	ERRFI1	ENST00000377482.5	ERRFI1	1	8073269	8075679	1389	3	1.9006586406e-05	5.31243644227e-06	1.28425785759e-05	7.62642049664e-07	8.89293382829e-08	3.3608221275e-08	8.85179609222e-07
NA	NA	ENST00000545087.1	AL590822.1	1	2144365	2145019	654	1	1.14091685778e-06	3.38332335551e-07	7.43231818223e-07	5.93527040098e-08	0.0	2.97579154624e-09	6.2328495556e-08
HGNC:30801	AJAP1	ENST00000378191.4	AJAP1	1	4715485	4834559	1236	5	2.67268877928e-05	8.69801451094e-06	1.72071091905e-05	6.40739398623e-07	1.81024692852e-07	3.32750437836e-08	8.55039135259e-07
HGNC:9138	EXOSC10	ENST00000376936.4	EXOSC10	1	11126774	11159888	2658	25	4.18056694674e-05	1.19915928239e-05	2.69038852339e-05	1.83169581367e-06	1.07849559589e-06	3.86411950877e-07	3.29660336043e-06
HGNC:23163	APITD1	ENST00000602787.1	APITD1	1	10490574	10511652	495	5	6.70705381316e-06	1.89004242384e-06	4.36676041383e-06	2.95436762833e-07	1.54814212652e-07	7.28216437999e-08	5.23072619285e-07
HGNC:26693	TTLL10	ENST00000379290.1	TTLL10	1	1114595	1133227	2022	13	1.99250853705e-05	6.3572325325e-06	1.28906484442e-05	3.79309270678e-07	2.97895123139e-07	2.02117134585e-08	6.97416107275e-07
HGNC:29037	PLCH2	ENST00000449969.1	PLCH2	1	2399058	2435066	3390	22	4.44610716714e-05	1.36400299119e-05	2.91668123661e-05	9.44423665294e-07	7.09805728155e-07	7.39437098218e-08	1.72817310327e-06
HGNC:4396	GNB1	ENST00000378609.4	GNB1	1	1718769	1756892	1023	9	1.97980477466e-05	6.0247017644e-06	1.27158141886e-05	5.90860866259e-07	4.66670927334e-07	2.16611746924e-08	1.07919296828e-06
HGNC:10896	SKI	ENST00000378536.4	SKI	1	2160205	2238204	2187	7	4.06639591185e-05	1.44398223967e-05	2.53367524797e-05	6.85372057178e-07	2.02012184872e-07	2.16114260025e-08	9.08995668053e-07
HGNC:3232	MEGF6	ENST00000356575.4	MEGF6	1	3407091	3527832	4626	37	8.05605714213e-05	2.66089843744e-05	5.02165628779e-05	1.89975253057e-06	1.83527163844e-06	1.76027170876e-07	3.91105133989e-06
HGNC:14825	OR4F5	ENST00000335137.3	OR4F5	1	69090	70008	918	1	8.87759800587e-06	2.62096425482e-06	6.08913828844e-06	1.67495462598e-07	0.0	9.71223166643e-11	1.67592584915e-07
HGNC:20855	THAP3	ENST00000054650.4	THAP3	1	6685278	6693137	720	5	1.20447547889e-05	3.4536840217e-06	8.13377273406e-06	2.96685574784e-07	1.60612458376e-07	4.64055778463e-08	5.03703611007e-07
HGNC:13281	ESPN	ENST00000377828.1	ESPN	1	6485015	6520206	2565	13	3.88068857104e-05	1.35871712175e-05	2.41283706158e-05	6.96723868774e-07	3.94620008328e-07	1.17331291586e-07	1.20867516869e-06
HGNC:29681	SLC25A33	ENST00000302692.6	SLC25A33	1	9599750	9642559	966	7	1.32702029664e-05	3.59583514412e-06	9.03741795905e-06	3.99901757159e-07	2.37048106114e-07	9.3487339718e-08	7.30437202992e-07
HGNC:17978	B3GALT6	ENST00000379198.2	B3GALT6	1	1167658	1168648	990	1	2.064007928e-05	7.25302141077e-06	1.31420954478e-05	2.4496242145e-07	0.0	1.6212690139e-09	2.46583690464e-07
HGNC:2257	CORT	ENST00000377049.3	CORT	1	10510280	10511652	318	2	5.75522835786e-06	1.83814573039e-06	3.67621205753e-06	1.986440474e-07	4.22265225468e-08	2.91639291468e-08	2.70034499094e-07
HGNC:7940	NPPB	ENST00000376468.3	NPPB	1	11917711	11918890	405	3	7.53317929362e-06	2.03449323449e-06	5.18194069488e-06	2.28484216592e-07	8.82611476746e-08	4.96032227452e-08	3.66348587012e-07
HGNC:17497	LZIC	ENST00000377223.1	LZIC	1	9990456	9996677	573	6	5.84588784015e-06	1.46641506306e-06	3.93684594247e-06	2.20719611275e-07	2.21907223352e-07	8.31865530276e-08	5.25813387655e-07
HGNC:8977	PIK3CD	ENST00000377346.4	PIK3CD	1	9770513	9787104	3135	22	5.98778724973e-05	1.87478450886e-05	3.87663685337e-05	1.34765227017e-06	1.01600660481e-06	2.98507972096e-07	2.66216684708e-06
HGNC:17877	NMNAT1	ENST00000377205.1	NMNAT1	1	10032131	10042759	840	4	1.04572965003e-05	2.76606476251e-06	7.22889538612e-06	3.26967639611e-07	1.35368712073e-07	5.57030863442e-08	5.18039438029e-07
HGNC:29207	LRRC47	ENST00000378251.1	LRRC47	1	3697651	3713040	1752	7	2.93893556139e-05	9.62672172002e-06	1.89930168564e-05	5.30877928163e-07	2.38739109297e-07	3.59516106949e-08	8.05568648155e-07
HGNC:11298	SRMS	ENST00000376957.2	SRM	1	11114921	11120000	909	8	1.73280475917e-05	5.94672731346e-06	1.06893334188e-05	4.03742304196e-07	2.88244555249e-07	1.23383107329e-07	8.15369966773e-07
HGNC:31971	PRAMEF4	ENST00000235349.5	PRAMEF4	1	12939364	12943215	1437	3	1.7926432929e-05	4.821107098e-06	1.25141627414e-05	4.99092303235e-07	9.20707863812e-08	5.38625943042e-08	6.4502568392e-07
HGNC:11923	TNFRSF8	ENST00000263932.2	TNFRSF8	1	12123655	12202588	1788	15	3.13942248571e-05	9.9158415799e-06	1.98793397506e-05	1.03582604323e-06	5.63217483453e-07	2.53341651315e-07	1.852385178e-06
HGNC:26226	HES3	ENST00000377898.3	HES3	1	6304425	6305567	561	3	9.21777950592e-06	3.04108552237e-06	5.96516884879e-06	1.36861892675e-07	7.46632420819e-08	2.62405082932e-08	2.37765643051e-07
HGNC:24847	FBXO44	ENST00000376770.1	FBXO44	1	11715892	11721330	768	5	1.73409893588e-05	5.93564602482e-06	1.06564153823e-05	5.66610896128e-07	1.82317055526e-07	8.12870145924e-08	8.30214966246e-07
HGNC:11571	TARDBP	ENST00000240185.3	TARDBP	1	11073784	11082711	1245	5	1.80616667083e-05	5.21634620398e-06	1.19907027333e-05	6.74971310795e-07	1.79646460232e-07	7.6847412936e-08	9.31465183963e-07
HGNC:11912	TNFRSF14	ENST00000355716.4	TNFRSF14	1	2488103	2494712	852	8	1.46365653419e-05	4.85565453776e-06	9.18277884048e-06	3.12974370213e-07	2.85157593451e-07	2.76534224138e-08	6.25785386078e-07
HGNC:42951	C1orf233	ENST00000422725.1	C1orf233	1	1534714	1535395	681	1	2.4086606018e-06	8.83457267071e-07	1.50489321952e-06	2.03101152015e-08	0.0	2.13005827041e-09	2.24401734719e-08
HGNC:16913	CTNNBIP1	ENST00000377263.1	CTNNBIP1	1	9910775	9932122	246	3	4.92513374893e-06	1.54316891373e-06	3.02436697441e-06	1.63372530302e-07	1.94225330479e-07	4.13059667318e-08	3.98903827513e-07
HGNC:27915	C1orf174	ENST00000361605.3	C1orf174	1	3806523	3816750	732	4	1.27656820733e-05	4.02184088032e-06	8.12164406814e-06	4.98209730623e-07	1.23987394258e-07	2.1143287502e-08	6.43340412382e-07
HGNC:18806	CAMTA1	ENST00000303635.7	CAMTA1	1	6845590	7826551	5022	23	9.22921879416e-05	2.97885033632e-05	5.8793373386e-05	2.75251693762e-06	9.57794254699e-07	2.42618337876e-07	3.95292953019e-06
HGNC:7171	MMP23B	ENST00000356026.5	MMP23B	1	1567597	1570001	1173	8	5.28908901479e-06	1.68543187901e-06	3.42873238201e-06	1.36531945472e-07	3.83928083104e-08	1.74130888442e-08	1.92337842627e-07
HGNC:15079	OR4F16	ENST00000332831.2	OR4F16	1	621095	622034	939	1	1.00463799962e-06	2.83362520945e-07	6.99650786236e-07	2.16246924426e-08	0.0	8.62949707519e-10	2.24876421501e-08
HGNC:329	AGRN	ENST00000379370.2	AGRN	1	955552	990361	6138	36	0.000115600233415	3.85262935873e-05	7.32848184765e-05	2.28551851264e-06	1.50360283897e-06	4.90001662418e-08	3.83812151785e-06
HGNC:16636	KIF1B	ENST00000263934.6	KIF1B	1	10292386	10436645	5313	46	7.98899014191e-05	2.06731176459e-05	5.35622577996e-05	3.55266527147e-06	2.10186070224e-06	6.62398258261e-07	6.31692423198e-06
HGNC:12790	WRB	ENST00000262450.3	CHD5	1	6166339	6240083	5865	41	0.000106309792567	3.45444027282e-05	6.73323608668e-05	2.52464645523e-06	1.90838251725e-06	3.52302370741e-07	4.78533134322e-06
HGNC:30577	MIB2	ENST00000505820.2	MIB2	1	1550839	1565910	3213	20	6.00044284809e-05	1.98687517378e-05	3.83243359937e-05	9.98039863494e-07	8.13300885882e-07	4.33245080284e-08	1.8546652574e-06
HGNC:24114	AURKAIP1	ENST00000338370.3	AURKAIP1	1	1309180	1310136	600	3	1.34622666211e-05	4.09754081179e-06	9.05966626606e-06	2.26415703425e-07	7.86438397976e-08	5.45105106413e-09	3.10510594288e-07
HGNC:24157	ACOT7	ENST00000377855.2	ACOT7	1	6324656	6445726	1143	9	2.37915390784e-05	7.49742343279e-06	1.54437874898e-05	4.9908786479e-07	3.51240290995e-07	7.96813929704e-08	9.30009548756e-07
HGNC:31275	OR4F29	ENST00000426406.1	OR4F29	1	367658	368597	939	1	1.00488817428e-06	2.83433083795e-07	6.99825013065e-07	2.1630077417e-08	0.0	5.11355767277e-10	2.21414331843e-08
HGNC:26546	CCDC27	ENST00000294600.2	CCDC27	1	3669045	3688087	1971	12	3.07921535758e-05	9.74103273363e-06	1.93530990471e-05	1.24108821016e-06	4.56933584944e-07	6.12427513949e-08	1.7592645465e-06
HGNC:8847	PER3	ENST00000361923.2	PER3	1	7844937	7902815	3606	21	5.78823959894e-05	1.79009374365e-05	3.73153063428e-05	1.65368965692e-06	1.0124625532e-06	2.29318744281e-07	2.8954709544e-06
HGNC:24023	KLHL17	ENST00000338591.3	KLHL17	1	896073	900571	1929	12	4.13435320206e-05	1.38878483953e-05	2.61321600583e-05	8.93534757402e-07	4.29988809635e-07	1.49561861211e-08	1.33847975316e-06
HGNC:24078	ANGPTL7	ENST00000376819.3	ANGPTL7	1	11249636	11255080	1041	5	1.64142525857e-05	4.41114929251e-06	1.12027015743e-05	6.1797244804e-07	1.82429270912e-07	7.80580887827e-08	8.78459807734e-07
HGNC:13539	AGTRAP	ENST00000314340.5	AGTRAP	1	11796265	11810249	480	5	9.0035890188e-06	2.64652887453e-06	5.95793816924e-06	2.21533411269e-07	1.77588563745e-07	8.18907050933e-08	4.81012680107e-07
HGNC:26052	CPSF3L	ENST00000540437.1	CPSF3L	1	1247238	1257333	1821	17	3.29409253029e-05	1.02640977838e-05	2.08921855489e-05	8.63927020152e-07	9.20714950055e-07	2.94942973493e-08	1.81413626756e-06
HGNC:17447	CLSTN1	ENST00000377298.4	CLSTN1	1	9790565	9883791	2946	19	5.56486443601e-05	1.86093839445e-05	3.48443849656e-05	1.40339425346e-06	7.9148119647e-07	2.58506256193e-07	2.45338170613e-06
HGNC:25767	PRAMEF16	ENST00000376121.3	PRAMEF16	1	13495283	13498128	1425	3	5.07993524798e-06	1.49181369218e-06	3.43110624495e-06	1.38999154485e-07	1.80161563527e-08	5.61722403505e-08	2.13187551188e-07
HGNC:28841	PRAMEF2	ENST00000240189.2	PRAMEF2	1	12918864	12921634	1425	3	1.94297064396e-05	6.01750684832e-06	1.27583281245e-05	5.60451131541e-07	9.34203352012e-08	5.37731326753e-08	7.07644599419e-07
HGNC:28390	FAM213B	ENST00000419916.2	FAM213B	1	2518234	2520866	687	7	1.0654170169e-05	3.56296802448e-06	6.71373970084e-06	1.47924723689e-07	2.29537719969e-07	2.44687709959e-08	4.01931214654e-07
HGNC:19366	PANK4	ENST00000378466.3	PANK4	1	2440285	2458026	2322	19	4.87742871566e-05	1.65658039403e-05	3.05014638377e-05	8.39886731187e-07	8.6713264751e-07	6.45162706759e-08	1.77153564937e-06
HGNC:32151	ATAD3C	ENST00000378785.2	ATAD3C	1	1386063	1403910	1236	12	2.36320881084e-05	7.35997315108e-06	1.53372148985e-05	5.13715467521e-07	4.21184591259e-07	2.31828395043e-08	9.58082898284e-07
HGNC:24026	ACTRT2	ENST00000378404.2	ACTRT2	1	2938250	2939384	1134	1	2.26460987459e-05	8.12610020301e-06	1.41419881092e-05	3.78010433701e-07	0.0	4.07781658733e-09	3.82088250288e-07
HGNC:30910	VWA1	ENST00000476993.1	VWA1	1	1371128	1375167	1338	3	2.44316258617e-05	8.37191775793e-06	1.55871331782e-05	4.16884647706e-07	5.56902777681e-08	5.71462339615e-09	4.78289548871e-07
HGNC:14668	MMEL1	ENST00000378412.3	MMEL1	1	2522428	2560923	2340	23	4.24537230757e-05	1.30916843082e-05	2.67714328492e-05	1.44389567722e-06	1.14671024099e-06	8.08126762342e-08	2.67141859444e-06
HGNC:13576	PRAMEF14	ENST00000334600.6	PRAMEF14	1	13668904	13671691	1425	3	7.19711453748e-06	2.22658068315e-06	4.76297874432e-06	1.85075043147e-07	2.24800668766e-08	5.68962793969e-08	2.6445138942e-07
HGNC:7542	MXRA8	ENST00000309212.6	MXRA8	1	1288983	1293884	1329	10	2.69991713694e-05	9.43849284377e-06	1.66439731325e-05	5.0040924691e-07	4.1629614611e-07	1.79040637413e-08	9.34609456763e-07
HGNC:28208	PERM1	ENST00000433179.2	C1orf170	1	911551	917497	2091	5	3.78338860938e-06	1.23469306063e-06	2.45139868042e-06	8.07619172055e-08	1.65349511266e-08	6.34516376157e-09	1.03642032094e-07
HGNC:24517	NOC2L	ENST00000327044.6	NOC2L	1	880073	894620	2250	19	4.18042868282e-05	1.3011601712e-05	2.68828610551e-05	1.14066391273e-06	7.69160148351e-07	2.33893354115e-08	1.93321339649e-06
HGNC:27007	TPRG1L	ENST00000378344.2	TPRG1L	1	3541636	3545167	819	5	1.21070704454e-05	3.86303648158e-06	7.64746158586e-06	4.54517298744e-07	1.4205507922e-07	2.45771193694e-08	6.21149497334e-07
HGNC:42950	ANKRD65	ENST00000537107.1	ANKRD65	1	1354479	1356385	1200	3	3.0938764172e-06	1.10813079937e-06	1.90761520239e-06	6.99042811945e-08	8.22613422575e-09	5.6425585484e-09	8.37729739686e-08
