transcript	gene	bp	covered_bp	all	syn	mis	non	rdt	css	frameshift
NM_006559	KHDRBS1	1332	1332	-4.74350082717	-5.29577679097	-4.9170140057	-6.26881409197	-7.88366372577	-6.4776823297	-6.07380846599
NM_017953	ZNHIT6	1413	1413	-4.72079187899	-5.30148575524	-4.89097183518	-6.11816515674	-7.7780825795	-6.40562853929	-6.04817052897
NM_025150	TARS2	2157	2157	-4.46140761744	-5.04604865307	-4.63235726283	-5.8313038014	-7.74621372169	-6.11946654431	-5.86446254572
NM_002060	GJA4	1002	1002	-4.72191614211	-5.25331306919	-4.89393769489	-6.23668971513	-7.5664301477	-7.77353945378	-6.19744496929
NM_005266	GJA5	1077	1077	-4.74979163537	-5.31160228061	-4.91516623755	-6.14546587557	-7.66267506827	-7.76316616661	-6.16609698752
NM_005267	GJA8	1302	1302	-4.60792048969	-5.08487812699	-4.80071876797	-6.24216519931	-7.60313127226	-7.70039421276	-6.08370170659
NM_030772	GJA9	1548	1548	-4.73726521861	-5.31193144253	-4.90067838402	-6.08122935728	-7.8665064298	-7.63287637359	-6.00854173447
NM_020365	EIF2B3	1359	1359	-4.75499509661	-5.3545858879	-4.92135600943	-6.14581230636	-7.7457197945	-6.35498148533	-6.06509323409
NM_006472	TXNIP	1176	1176	-4.77754684362	-5.36875383241	-4.94707646387	-6.10572057688	-7.72298479881	-6.50446037617	-6.12790536908
NM_001013615	LURAP1	720	720	-4.90459953538	-5.42007885426	-5.09116605218	-6.31171366493	-7.8153049345	-7.33948758449	-6.34098019439
NM_005666	CFHR2	813	813	-5.01603782519	-5.61855370091	-5.18384496207	-6.3186340088	-7.56583064354	-6.75794604848	-6.28822214523
NM_001048183	PHACTR4	2109	2109	-4.54430839958	-5.13832007813	-4.71291497057	-5.9095440245	-7.54552716884	-6.1836684198	-5.87423611108
NM_013943	CLIC4	762	762	-5.01231396602	-5.54322525733	-5.1917552729	-6.71251316605	-7.83287726889	-6.66015695222	-6.31635771948
NM_002113	CFHR1	993	993	-4.87389259415	-5.50025294101	-5.03974125371	-6.14345296005	-7.56814791013	-6.47165972563	-6.20136344233
NM_001201550	CFHR4	1737	1737	-4.91264309976	-5.48201977073	-5.09354671307	-6.2839876462	-7.70898779027	-6.48103252884	-5.95851287237
NM_030787	CFHR5	1710	1710	-4.66784019629	-5.244933824	-4.84448250361	-5.96167290846	-7.60261964831	-6.42758545687	-5.96531658043
NM_006085	BPNT1	927	927	-4.91574516866	-5.4984089651	-5.09644148897	-6.19672724482	-7.88401819601	-6.50905866262	-6.23123295668
NM_001229	CASP9	1251	1251	-4.73797721822	-5.25733979985	-4.92339992172	-6.30818384116	-7.70874345751	-6.50513549608	-6.10105538113
NM_002585	PBX1	1293	1293	-4.72524808077	-5.25552230884	-4.91556748284	-6.11015379913	-7.66958379445	-6.4814571609	-6.08671416594
NM_199044	NSUN4	1155	1155	-4.76106779374	-5.3514309655	-4.94217561465	-6.0132719465	-7.57617515226	-6.33480302458	-6.13573070659
NM_001009611	PRAMEF4	1437	1437	-4.7421081168	-5.3114865079	-4.89904120734	-6.2990076376	-7.78073236375	-7.03687477841	-6.04085592269
NM_001010889	PRAMEF6	1431	1431	-4.74300483864	-5.30345967493	-4.90328425415	-6.30399127282	-7.78075322964	-7.03689564429	-6.04267305706
NM_001012277	PRAMEF7	1425	1425	-4.71531410212	-5.25460336385	-4.88405324944	-6.27673907277	-7.78078276452	-7.03736923348	-6.04449782648
NM_023013	PRAMEF1	1425	1425	-4.71008927016	-5.25764736089	-4.87592391753	-6.25865786612	-7.71405758408	-7.0374156453	-6.04449782648
NM_023014	PRAMEF2	1425	1425	-4.71891651854	-5.22840560251	-4.90202842837	-6.25928444538	-7.71402271325	-7.03738077447	-6.04449782648
NM_001013692	PRAMEF3	1446	1446	-4.70122206626	-5.27283671619	-4.85697837835	-6.26000494467	-7.69274758908	-7.04019065388	-6.03814439786
NM_001166292	PTCH2	3441	3441	-4.24954367059	-4.76287714975	-4.43270320562	-5.91645195095	NA	-6.04823599917	-5.6616280182
NM_001010890	PRAMEF9	1437	1437	-4.73779996682	-5.30952720407	-4.89640206801	-6.2336847817	-7.78064758892	-7.03679000358	-6.04085592269
NM_001080418	DLGAP3	2940	2940	-4.25966994673	-4.77733368062	-4.43499513671	-5.92453121872	-7.68095331092	-6.44548524831	-5.72996536041
NM_001242810	BRDT	2625	2625	-4.50686776721	-5.09628216519	-4.6753607593	-5.89168447175	-7.88471874809	-6.15402094419	-5.77918338308
NM_001286	CLCN6	2610	2610	-4.31990058059	-4.84156523608	-4.50833186709	-5.84115095525	-7.68145672511	-6.00557185696	-5.78167218348
NM_012333	MYCBP	312	312	-5.47279330309	-6.07676806525	-5.64176876907	-7.03541569321	-7.5933421643	-6.88770115208	-6.7041580968
NM_005401	PTPN14	3564	3564	-4.21216723794	-4.74986283129	-4.3952252043	-5.59339106064	-7.8856678412	-6.12498649942	-5.64637499546
NM_145729	MRPL24	651	651	-4.97341432661	-5.60040862575	-5.13306360274	-6.24600892237	-7.77808461682	-6.75309858183	-6.38473170225
NM_017971	MRPL20	450	450	-5.07134444204	-5.61716383516	-5.27460338128	-6.31890233447	-7.74124678723	-6.5869659503	-6.54510017705
NM_033067	DMRTB1	1029	1029	-4.7700823642	-5.22146206124	-4.97927259873	-6.48096496656	-7.71462975829	-6.86855785724	-6.18589731606
NM_005626	SRSF4	1485	1485	-4.55706495087	-5.24759907375	-4.69028130745	-5.84245599838	-7.84560659887	-6.66005213932	-6.02658623717
NM_004284	CHD1L	2694	2694	-4.48787932707	-5.08205052243	-4.66435409657	-5.82189886809	-7.89553530561	-5.97459012328	-5.76791509943
NM_024554	PGBD5	1368	1368	-4.57870523942	-5.07337374877	-4.7714593712	-6.1409060114	-7.66860593796	-6.57535445865	-6.06222659344
NM_170725	PGBD2	1779	1779	-4.60239038991	-5.18521650267	-4.76018854103	-5.99305017096	-7.66166355719	-7.35118418468	-5.94813674274
NM_001123068	PPIAL4G	495	495	-5.15693124608	-5.74780764538	-5.30556772418	-6.70635740415	-7.86831576444	-7.65973798115	-6.50370749189
NM_003516	HIST2H2AA3	393	393	-4.95847334526	-5.43803641419	-5.1516261776	-6.57373982154	-7.7237489648	-7.75883712095	-6.60392014044
NM_001040874	HIST2H2AA4	393	393	-4.95847334526	-5.43803641419	-5.1516261776	-6.57373982154	-7.7237489648	-7.75883712095	-6.60392014044
NM_182976	ZNF326	1749	1749	-4.6341517894	-5.25452337735	-4.79971748799	-5.87939840138	-7.88470568461	-6.33560746131	-5.95552288134
NM_052841	TSSK3	807	807	-4.91402759776	-5.44672132102	-5.08215411776	-6.56472952755	-7.69720297149	-7.34587754853	-6.2914391561
NM_003132	SRM	909	909	-4.74985443703	-5.23066107285	-4.95331269509	-6.35446551218	-7.74457489947	-6.50275308447	-6.2397488076
NM_006499	LGALS8	1080	1080	-4.80986803862	-5.35975693003	-4.99015314849	-6.32016532333	-7.68877799562	-6.40118105242	-6.16488893533
NM_024595	AKIRIN1	579	579	-5.30479591265	-5.98426347451	-5.46984165602	-6.44976688388	-7.60353671573	-6.82293901637	-6.43563412709
NM_000427	LOR	939	939	-5.2083280292	-5.61275609059	-5.44240538559	-7.01962758271	-7.58030396061	-7.74566187249	-6.22564709855
NM_020888	KIAA1522	3285	3285	-4.26751183554	-4.81383727994	-4.42972305838	-5.9149592016	-7.68255586909	-6.60990331751	-5.68177731692
NM_014873	LPGAT1	1113	1113	-4.88260222762	-5.49971639994	-5.05082487205	-6.12090802419	-7.72762593394	-6.57160839417	-6.15181752649
NM_006335	TIMM17A	516	516	-5.14120425218	-5.7392874948	-5.33699464616	-6.25321756593	-7.69136552245	-6.65670048795	-6.48566298919
NM_002642	PIGC	894	894	-4.9356291382	-5.54463991577	-5.08489485315	-6.31389004563	-7.88423554393	-7.66945457668	-6.24697517202
NM_005482	PIGK	1188	1188	-4.79024144182	-5.38910646691	-4.95821293492	-6.17375713813	-7.69174384939	-6.37027881595	-6.12349625018
NM_145167	PIGM	1272	1272	-4.6547433552	-5.15419990322	-4.83563754584	-6.30658866312	-7.69333507444	-7.73331683111	-6.09382557951
NM_002644	PIGR	2295	2295	-4.42256477157	-4.91608936561	-4.61655576065	-5.96615894855	-7.67968965845	-6.41747110554	-5.83753000095
NM_001202554	PIGV	1482	1482	-4.71432901505	-5.25558293924	-4.89068369337	-6.11121947852	-7.5552734071	-7.04904487992	-6.02746448718
NM_005839	SRRM1	2715	2715	-4.34546629148	-4.98484256403	-4.50814123839	-5.53328503159	-7.74235614361	-6.09725703343	-5.7645428569
NM_000478	ALPL	1575	1575	-4.50874780839	-4.97999046289	-4.71502796545	-6.17809327191	-7.76915882614	-6.24714874427	-6.00103213269
NM_000963	PTGS2	1815	1815	-4.63278142669	-5.22506955889	-4.79800879856	-6.04719060891	-7.65804482937	-6.30435293473	-5.93943606145
NM_002529	NTRK1	2391	2391	-4.40109623515	-4.92124547143	-4.58094652677	-6.13129475165	-7.73852167508	-6.14305363355	-5.8197331147
NM_018364	RSBN1	2409	2409	-4.38848862192	-4.93624102886	-4.56681813504	-5.72181435991	-7.65106797961	-6.57579644768	-5.81647589082
NM_005665	EVI5	2433	2433	-4.52269562965	-5.12145059301	-4.69502382952	-5.82150079567	-7.68295891545	-6.13046083942	-5.81217058189
NM_004815	ARHGAP29	3786	3786	-4.34280001001	-4.9443063993	-4.51004886166	-5.65680796657	-7.69159038957	-6.03475152243	-5.62013208119
NM_018194	HHAT	1482	1482	-4.6369700746	-5.15195680087	-4.83887810568	-5.9695718892	-7.8675950047	-6.35310273907	-6.02746448718
NM_001143912	FAM76A	1026	1026	-4.98849853069	-5.59405479076	-5.16103205811	-6.33756330561	-7.55531566686	-6.47824675553	-6.18716533004
NM_001085487	MYSM1	2487	2487	-4.50494305018	-5.10975940102	-4.6792262975	-5.79747850452	-7.65052403723	-6.02162642627	-5.80263690555
NM_016076	PPPDE1	585	585	-5.06710414439	-5.58575342291	-5.26189409488	-6.51472051711	-7.70092518321	-6.75552942138	-6.43115682474
NM_005281	GPR3	993	993	-4.79092419983	-5.3065073652	-4.96591865858	-6.40801024139	-7.71344673885	-7.70447378778	-6.20136344233
NM_001105556	C1orf38	1932	1932	-4.54183850296	-5.0870894678	-4.70609879471	-6.18832839497	-7.87752652996	-6.69955159782	-5.91230556874
NM_001206641	C1orf31	240	240	-5.57867771604	-6.18653734072	-5.75289537018	-6.80357941967	-7.71415722906	-7.35162651251	-6.81810144911
NM_024319	C1orf35	792	792	-4.9200042733	-5.44267145903	-5.1028014751	-6.61881525841	-7.66851531193	-6.58534183672	-6.29958750923
NM_017673	SWT1	2703	2703	-4.52027067465	-5.1191363584	-4.68952359967	-5.90178775341	-7.70973669475	-6.0620948116	-5.76646664512
NM_182663	RASSF5	1257	1257	-4.78867073769	-5.31827675061	-4.9740355305	-6.21578597394	-7.81478663388	-6.65238536356	-6.09897741313
NM_001037317	LPPR5	966	966	-4.78811042268	-5.30024702304	-4.99066155282	-6.15834515909	-7.54504768532	-6.46920827149	-6.2133355644
NM_014839	LPPR4	2292	2292	-4.53278373944	-5.08834850878	-4.70550093587	-5.91908472818	-7.77769178567	-6.61747432727	-5.83809807753
NM_015557	CHD5	5865	5865	-3.95763747247	-4.44559122423	-4.15641518204	-5.57011107184	-7.71115116439	-5.71315295216	-5.43004467437
NM_006367	CAP1	1428	1428	-4.69989933646	-5.24802892393	-4.88737080291	-6.07375225152	-7.71008837492	-6.31495512251	-6.04358448338
NM_004623	TTC4	1164	1164	-4.82576054948	-5.39170146513	-5.00917836925	-6.18223328128	-7.55455247356	-6.39552472301	-6.13235971051
NM_012414	RAB3GAP2	4182	4182	-4.29018842211	-4.86796875351	-4.47249176115	-5.61742338995	-7.55463382866	-5.80148846505	-5.57692866234
NM_022114	PRDM16	3831	3831	-4.08508268735	-4.53509948962	-4.29369197632	-5.81804031267	-7.6788134575	-6.18864685219	-5.61500053884
NM_005373	MPL	1908	1908	-4.6144807386	-5.17380801639	-4.80313833364	-5.8555240789	-7.77809641754	-6.34954204063	-5.91773432045
NM_000530	MPZ	747	747	-4.87297856389	-5.37951558054	-5.06063891196	-6.5612636307	-7.59166845576	-6.64393268925	-6.32499208901
NM_001009999	KDM1A	2631	2631	-4.46435714166	-5.04640026868	-4.63978931002	-5.79276571164	-7.7222979895	-6.10204165328	-5.77819184273
NM_004106	FCER1G	261	261	-5.43090035598	-5.96171167911	-5.66742657076	-6.57624992524	-7.68986792174	-6.74692155035	-6.78167218348
NM_002001	FCER1A	774	774	-5.05234346451	-5.60801889372	-5.23175498344	-6.48013254477	-7.6693336724	-6.7411645737	-6.30957173014
NM_006763	BTG2	477	477	-5.11274699243	-5.58553873185	-5.30809569429	-6.79914900828	-7.71482167068	-7.71678261373	-6.51979431178
NM_020435	GJC2	1320	1320	-4.64978659458	-5.12046208098	-4.8411621318	-6.44011943744	-7.74911514179	-7.62091531324	-6.07773875961
NM_002731	PRKACB	1056	1056	-4.88154013141	-5.45966608513	-5.06114222594	-6.25121609498	-7.88449461495	-6.39223321646	-6.17464877262
NM_002796	PSMB4	795	795	-4.78650182239	-5.31693878059	-4.97503663498	-6.18866000913	-7.60404074086	-6.57687527558	-6.29794556216
NM_002794	PSMB2	606	606	-4.97885958154	-5.53750182565	-5.16328668441	-6.30568665734	-7.84661623723	-6.65150920328	-6.41584006665
NM_002245	KCNK1	1011	1011	-4.73590986777	-5.22033692367	-4.9279340896	-6.35750628849	-7.77714156199	-7.05779585153	-6.19356153523
NM_015378	VPS13D	13167	13167	-3.73463720121	-4.3027205366	-3.90894856953	-5.0990788065	-7.74756942636	-5.50554320609	-5.07882585526
NM_001130042	CRYZ	990	990	-4.91214531404	-5.49714171241	-5.09485021058	-6.16383893049	-7.54493010298	-6.51340503839	-6.20267749622
NM_022159	ELTD1	2073	2073	-4.62616020123	-5.19856248104	-4.79603593844	-6.14139653682	-7.83288230285	-6.22994491188	-5.88171338873
NM_006556	PMVK	579	579	-4.94884776784	-5.49917511495	-5.12197438411	-6.47766604355	-7.70622955842	-6.75018745634	-6.43563412709
NM_018203	KLHDC8A	1053	1053	-4.64688184024	-5.17157823098	-4.8280683113	-6.11999432094	-7.71282926954	-6.75143323533	-6.17588431963
NM_024529	CDC73	1596	1596	-4.63137668274	-5.2532868538	-4.8123599885	-5.77869278223	-7.74809017073	-6.15465420587	-5.99527980381
NM_001010980	C1orf130	309	309	-5.27382562686	-5.7799723653	-5.46550716956	-6.90066963228	-7.5541964912	-7.06430016442	-6.7083542114
NM_004261	SEP15	498	498	-5.13953104314	-5.63519660382	-5.32578803473	-6.77291526779	-7.3544068438	NA	-6.50108334806
NM_024037	C1orf135	1074	1074	-4.90089549053	-5.44130471793	-5.08008884249	-6.27815006955	-7.86600307355	-7.06130584115	-6.16730840946
NM_006893	EIF2D	1755	1755	-4.61828480944	-5.16536444318	-4.81190812054	-5.92732413392	-7.66243937588	-6.20363724898	-5.95403557002
NM_002557	OVGP1	2037	2037	-4.56493994594	-5.11785837603	-4.73467337145	-6.13899893115	-7.8771594581	-6.35012375423	-5.88932166182
NM_000792	DIO1	750	750	-4.98103093506	-5.54948469136	-5.15079040497	-6.40834162458	-7.47084645385	-6.87357026438	-6.32325142743
NM_002107	H3F3A	411	411	-5.075396002	-5.76841545167	-5.19253356455	-6.73881590702	-7.89482231195	-7.05730516359	-6.58447086894
NM_012474	UCK2	786	786	-4.85876249479	-5.37508129114	-5.04614614644	-6.43678714923	-7.71020324805	-6.6023315094	-6.30289014478
NM_014280	DNAJC8	762	762	-4.95265784321	-5.56073045003	-5.13517428647	-6.15691933442	-7.66323554553	-6.44569096813	-6.31635771948
NM_203459	CAMSAP2	4437	4437	-4.26380961393	-4.86240730188	-4.42496771236	-5.61522780517	-7.56647100825	-6.15021595843	-5.5512232621
NM_001256864	DNAJC6	2913	2913	-4.43812398825	-4.9957488463	-4.61835336223	-5.82314944664	-7.88569992985	-6.11264945024	-5.73397220619
NM_002959	SORT1	2496	2496	-4.52214040146	-5.09069856815	-4.70155312627	-5.91730498816	-7.59170894869	-6.0866853549	-5.80106810981
NM_016052	RRP15	849	849	-4.95328215365	-5.51744365565	-5.11805257895	-6.55265628457	-7.70199745585	-6.74938535484	-6.26940500058
NM_001010935	RAP1A	555	555	-5.10771091218	-5.6497375115	-5.2999071833	-6.50323723164	-7.71508118883	-6.66289123357	-6.4540197077
NM_018372	LRIF1	2310	2310	-4.57110754348	-5.12598399658	-4.73961826016	-6.0012122622	-7.702351544	-6.87044899797	-5.83470071093
NM_206996	SPAG17	6672	6672	-4.10030515331	-4.68957630858	-4.2711411654	-5.48013156102	-7.72725616672	-5.68858050608	-5.37405665319
NM_001460	FMO2	1416	1416	-4.7289439074	-5.31304908009	-4.892095158	-6.17940616267	-7.7054960588	-6.52159276853	-6.04724943747
NM_212503	CDK18	1515	1515	-4.58516159977	-5.13463365007	-4.7602516301	-6.14947211208	-7.74499227796	-6.24968112002	-6.01790005798
NM_001126060	NOS1AP	636	636	-4.87861237125	-5.30912527635	-5.09881437891	-6.52275522347	-8.09361745189	-7.35705487382	-6.39485557517
NM_020248	CTNNBIP1	246	246	-5.26947782517	-5.7745707321	-5.47940961861	-6.76638104806	-7.68890396938	-6.72403348777	-6.80737758372
NM_006369	LRRC41	2439	2439	-4.4242302394	-5.04329333942	-4.57137303797	-5.87096088349	-7.6509164617	-6.39740415302	-5.81110089051
NM_017768	LRRC40	1809	1809	-4.63071319075	-5.19906846695	-4.81447522925	-5.94788468833	-7.86325835071	-6.21458629218	-5.94087412396
NM_001256409	LRRC42	1287	1287	-4.76633694516	-5.33633002115	-4.94262119154	-6.08699346745	-7.6966166437	-6.57581218724	-6.08873414392
NM_006983	MMP23B	1173	1173	-4.67175334477	-5.16938924991	-4.8568750756	-6.41888556988	-7.74128268	-6.65698222704	-6.1290146787
NM_020710	LRRC47	1752	1752	-4.60172894594	-5.09952992027	-4.78853269334	-6.29298454974	-7.6789790599	-6.57856101896	-5.95477858899
NM_001171941	FNDC5	462	462	-5.15549452127	-5.72866718197	-5.31042315954	-6.85126994358	NA	-7.05165837342	-6.53367071526
NM_001144937	FNDC7	2202	2202	-4.71096064134	-5.25453528986	-4.88986767228	-6.18252358809	-7.55485686964	-6.49591998188	-5.85549537618
NM_022078	GPATCH3	1578	1578	-4.53822104789	-5.11667241229	-4.69757109651	-6.01694352891	-7.68280607951	-6.57259602935	-6.00020569195
NM_000858	GUK1	594	594	-4.86438962185	-5.3383188241	-5.07078894156	-6.76188114827	-7.74398149827	-6.40958116749	-6.42452624584
NM_017818	WRAP73	1383	1383	-4.55055967647	-5.02179362198	-4.7600262431	-6.12334384205	-7.68631945958	-6.31277693435	-6.05749051071
NM_020127	TUFT1	1173	1173	-4.76934992299	-5.32378513734	-4.94905122493	-6.2606971182	-7.74574087261	-6.34508426204	-6.1290146787
NM_001128425	MUTYH	1650	1650	-4.55846383543	-5.14343667776	-4.72642277011	-5.99770793362	-7.66344340751	-6.18659101832	-5.98082874661
NM_001136504	SYT2	1260	1260	-4.71261315717	-5.2089204062	-4.90321532225	-6.43774607458	-7.65843210867	-6.49912993908	-6.0979421457
NM_001253772	SYT6	1533	1533	-4.68764787642	-5.25297161275	-4.84587600272	-6.3593299804	-7.65104787652	-6.65067903575	-6.01277053597
NM_016124	RHD	1254	1254	-4.70669793316	-5.19959621923	-4.90810381954	-6.35110768247	-7.89519592457	-6.28648780786	-6.10001515433
NM_003902	FUBP1	1935	1935	-4.59188383094	-5.18911768279	-4.76453101538	-5.96564774928	-7.70303502342	-6.08446266056	-5.91163172147
NM_015331	NCSTN	2130	2130	-4.50437196472	-5.07723473476	-4.68055276899	-5.87509179697	-7.74519856473	-6.14408142072	-5.86993308738
NM_014704	CEP104	2778	2778	-4.37229025949	-4.92006605135	-4.55704968337	-5.80220821367	-7.68937791536	-5.96439406443	-5.75458044942
NM_001204086	NBL1	648	648	-5.08747812339	-5.54970053644	-5.29425851524	-6.77248960535	NA	-6.96701441324	-6.38673768495
NM_006496	GNAI3	1065	1065	-4.82551466462	-5.40375314475	-5.00228556094	-6.13446696308	-7.77807415632	-6.52300238032	-6.17096308305
NM_017734	PALMD	1656	1656	-4.72044465765	-5.27900644043	-4.89480180663	-6.14885138846	-7.87705257585	-6.50713293642	-5.97925235837
NM_001024594	C1orf53	438	438	-5.28102840755	-5.7261036144	-5.50516621867	-6.67288289128	-7.70933037023	NA	-6.55683858032
NM_198077	C1orf52	549	549	-4.96715827423	-5.42833413984	-5.17103977876	-6.69726922954	-7.65778252267	-7.0532136959	-6.45874034637
NM_144697	C1orf51	1158	1158	-4.8095430276	-5.38646467938	-4.96907806458	-6.33824113701	-7.71398414367	-6.74197610571	-6.13460413143
NM_024097	C1orf50	600	600	-5.11828674152	-5.62352561668	-5.31773087274	-6.56091450291	-7.74511898126	-6.87902880457	-6.42016144044
NM_017860	C1orf56	1026	1026	-4.67474103991	-5.17443509068	-4.8560290422	-6.32887196359	-7.83576557785	-7.38537662408	-6.18716533004
NM_152608	C1orf55	1356	1356	-4.67502643824	-5.2394938384	-4.84905784218	-6.09354583377	-7.60053895509	-6.41438949198	-6.06605300129
NM_024579	C1orf54	396	396	-5.25052973795	-5.80062202372	-5.43692160289	-6.74700854915	-7.65954435385	-6.75358077092	-6.60061750489
NM_022746	MARC1	1014	1014	-4.86806219834	-5.39461949806	-5.06044202267	-6.25238586918	-7.83451933648	-6.6115809696	-6.19227473582
NM_017898	MARC2	1008	1008	-4.88505860287	-5.46067796627	-5.05020097619	-6.43109836691	-7.67100521265	-6.57245445728	-6.19485215871
NM_012405	ICMT	855	855	-4.99461441933	-5.51871351099	-5.19632836323	-6.2529938332	-7.66104850517	-6.81694801616	-6.26634657609
NM_213653	HFE2	1281	1281	-4.65239149923	-5.21479730485	-4.81682170399	-6.0882452511	-7.84409720597	-7.05143121792	-6.09076356108
NM_001105669	TTC24	1749	1749	-4.91073675445	-5.41778822673	-5.09290783839	-6.43730169526	-7.67521184179	NA	-5.95552288134
NM_017904	TTC22	1119	1119	-4.68446166235	-5.15334854476	-4.88959406785	-6.24755466375	NA	-6.71157771672	-6.14948260429
NM_000565	IL6R	1407	1407	-4.62264190103	-5.12152524875	-4.81699361968	-6.19655487023	-7.59219296308	-6.41866851989	-6.05001859339
NM_001201483	ENO1	1026	1026	-4.77243890695	-5.26410550133	-4.97336119415	-6.43868760778	-7.84251874215	-6.36401514527	-6.18716533004
NM_003176	SYCP1	2931	2931	-4.52429676352	-5.11850035227	-4.70784146615	-5.82532861647	-7.88569059019	-5.92574036889	-5.73129687238
NM_018420	SLC22A15	1644	1644	-4.6394041673	-5.15350697583	-4.82193794073	-6.08062309499	-7.72556121009	NA	-5.98241087762
NM_001098623	OBSCN	23907	23907	-3.40522433815	-3.90067002413	-3.58736119779	-5.04456297696	-7.75794101333	NA	-4.81978760928
NM_006252	PRKAA2	1659	1659	-4.66782801384	-5.26485188372	-4.83503683504	-5.96466520674	-7.69686654933	-6.48536705185	-5.9784663048
NM_001206739	ITGB3BP	651	651	-5.27929359746	-5.94567609433	-5.44799265071	-6.79578240839	-7.74564916248	-6.41929951431	-6.38473170225
NM_052862	RCSD1	1251	1251	-4.75503997363	-5.26188797915	-4.95326955243	-6.14838438474	-7.72574527084	-6.61865478038	-6.10105538113
